UnitID,WarehouseID,UnitSize,Rent
1,OR-1,8 x 8,25
1,WA-1,12 x 12,35
1,WY-1,12 x 12,45
2,OR-1,8 x 12,30
2,WA-1,12 x 12,35
2,WY-1,12 x 12,45
3,OR-1,8 x 8,25
3,WA-1,9 x 12,30
3,WY-1,12 x 12,45
4,OR-1,8 x 12,30
4,WA-1,9 x 12,30
4,WY-1,12 x 18,70
5,OR-1,8 x 8,25
5,WA-1,12 x 12,85
5,WY-1,12 x 18,70
6,OR-1,8 x 12,30
6,WA-1,12 x 12,85
6,WY-1,12 x 12,45
7,OR-1,8 x 10,25
7,WA-1,12 x 10,80
7,WY-1,12 x 12,85
8,OR-1,15 x 15,95
8,WA-1,12 x 10,80
8,WY-1,12 x 8,35
9,OR-1,15 x 15,95
9,WA-1,18 x 18,115
9,WY-1,15 x 15,95
10,OR-1,15 x 15,95
10,WA-1,18 x 18,115
10,WY-1,18 x 18,115